PART NUMBER,SERIAL NUMBER,,QTY
661-22311,G9Q5305BK41PRRDA7,,1
661-13569,F5D53170H6ZLTDMBM,,1
661-14098,DKH5332F0Y704FPA8,,1
661-14098,DKH5326F0V604FPAH,,1
661-22293,DN85236ASNQQ1NMDC,,1
661-14098,DKH5443F09K04FPAS,,1
661-22293,DN84196FSL5Q1NMD8,,1
661-14098,DKH5443F0NU04FPAC,,1
661-21988,G9P5381C32WPR5QAT,,1
661-22293,DN84203FA6YQ1NMD0,,1
661-22311,G9Q5305B3HKPRRDA0,,1
661-17939,F8Y5402C5DC02JNBB,,1
661-35885,F8YHN0C178000006TW,,1
661-21993,G9P5163L6QDPQCKAA,,1
661-21993,G9P5162LGD6PQCKA7,,1
923-06235,DTV132511TV08036P,,1
661-56125,G9PHPUD2BC90000L4B,,1
661-30397,F8Y6042C2TT20J9BP,,1
661-35885,F8YHRDC09X800006TW,,1
661-30366,G9Q5173ENN51502AQ,,1
661-30382,F8Y6117C5NF217WBT,,1
661-30382,F8Y6122C161217WBT,,1
661-22309,G9P4443MCN2PQCLAP,,1
661-21988,GVH51810918PR5PAX,,1
661-30366,G9Q5173WM0Q1502AQ,,1
661-29370,G9P5271P61Y14YCAE,,1
661-29370,G9P5267PNGV14YCAM,,1
661-42843,G9HHHL17CP00004Y9,,1
661-21988,G9Q5173PPEYPR5QA6,,1
661-21988,G9Q5172CA52PR5QA8,,1
661-30401,G9P5205NKA614YDAK,,1
661-36706,G9Q5345UL1A21KHAA,,1
661-36706,G9Q5392UKKC21KHAB,,1
661-35699,G9P5233R3431PHPAN,,1
661-35699,G9P5234RBKA1PHPAV,,1
661-36915,G9P5276Q2501PHRA9,,1
661-36915,G9P5333Q7NL1PHRAF,,1
661-37213,G9Q5315S1C51PHMAZ,,1
661-30373,F8Y5514C13P231LB6,,1
661-30394,F8Y5457C5QC237KBM,,1
661-30394,F8Y5457C7BQ237KBC,,1
661-35694,F8YHP7C0H3600006TP,,1
661-37207,F8YHNVC00NV00006U0,,1
661-37207,F8YHNVC03KD00006U0,,1
661-36918,FG9HNR006KQ00006TT,,1
661-36918,FG9HP4003KV00006TT,,1
661-44796,FG9HM5003B10000R3T,,1
661-44796,FG9HM5003AT0000R3T,,1
661-42720,F8YHN7A047Z0000RZ2,,1
661-42837,F8YHLS00L340000RSS,,1
661-44954,F8YHLQH03VH0000UMJ,,1
661-56065,GVCHP202L1K0000U6M,,1
661-55240,GVCHKL02GX20000HU9,,1
661-42843,G9QHNTT07L000004Y9,,1
661-44797,G9NHQ6218MN00004Y7,,1
661-44955,G9PHKBS0PF800005DR,,1
661-56064,F8YHKR00B8F0001510,,1
661-55235,F8YHKLY0QWA00017SP,,1
661-56049,FG9HL5018WZ00015XX,,1
661-56121,F8YHKS011H3000161P,,1
661-56056,FG9HKT00TL100015Y1,,1
